0
34 50 18 44 19 35 47 62 65 26 | 63 06 27 15 60 09 98 03 61 89 31 43 80 37 54 49 92 55 08 07 10 16 52 33 45
90 12 98 56 22 99 73 46 01 28 | 52 77 32 08 81 41 53 22 28 46 48 27 98 01 94 12 99 72 84 90 92 73 24 63 56
48 10 39 87 23 78 49 40 55 08 | 48 80 78 87 39 24 27 19 41 73 30 52 10 02 67 40 88 53 59 84 55 49 05 33 82
21 45 91 26 64 51 42 84 11 94 | 55 56 36 65 84 02 68 44 52 58 86 06 33 07 97 40 30 14 39 80 82 57 79 01 10
33 06 67 89 64 31 85 11 02 15 | 06 70 29 89 12 11 64 80 07 82 46 16 33 68 48 72 31 02 99 15 67 57 04 49 85
51 20 11 66 38 39 69 48 25 74 | 39 74 03 86 19 25 21 55 02 38 46 60 66 82 51 11 98 88 08 48 49 94 20 69 72
04 50 82 51 52 77 12 11 57 42 | 56 11 73 69 42 82 32 77 52 98 12 51 36 94 46 04 50 39 85 90 93 70 18 71 57
96 31 27 93 07 08 06 23 15 72 | 55 79 86 04 06 35 12 27 95 29 73 81 87 43 07 13 62 15 72 71 58 48 63 94 89
16 90 79 29 93 31 40 24 82 88 | 86 16 73 20 22 93 83 39 36 90 79 72 40 29 35 97 88 12 08 24 31 82 21 59 95
17 36 50 39 96 43 41 38 55 08 | 39 93 38 96 56 27 04 72 17 87 99 78 75 11 55 41 43 68 64 28 50 40 08 36 97
76 96 78 64 80 28 11 24 93 97 | 66 34 64 35 97 47 54 13 79 11 67 24 36 28 17 30 82 93 21 49 04 86 76 12 08
16 73 39 24 54 90 89 55 11 25 | 17 92 01 61 86 02 25 07 50 55 88 74 64 83 24 48 39 84 54 32 58 34 89 28 99
66 99 94 51 17 67 73 32 76 86 | 97 61 50 64 57 41 39 89 60 13 43 72 44 83 84 18 87 20 92 48 75 08 82 36 53
03 56 26 47 68 66 22 20 27 77 | 75 22 63 26 55 66 03 73 47 90 44 64 76 04 92 19 91 62 51 77 58 17 02 40 52
91 01 44 06 51 43 61 05 12 31 | 49 97 10 78 87 95 36 56 96 46 04 14 43 54 94 81 41 67 91 11 83 38 93 22 86
61 46 35 13 79 38 80 03 95 87 | 80 98 46 74 28 26 84 73 75 57 52 91 40 44 02 51 95 77 03 96 35 67 41 55 79
50 89 17 18 60 81 37 29 03 52 | 13 19 83 98 77 25 97 52 10 35 94 99 50 06 27 84 41 11 33 34 20 04 54 89 56
57 01 68 03 86 40 15 02 38 41 | 88 96 18 25 16 15 12 47 37 27 39 48 32 43 33 82 60 13 57 53 40 61 26 99 05
30 48 03 82 23 91 41 63 99 16 | 78 06 46 54 22 85 07 49 59 53 68 12 70 97 77 92 56 41 83 05 75 37 58 61 28
28 05 15 55 66 24 25 93 06 22 | 94 68 04 02 98 37 76 71 78 21 47 67 97 51 99 03 57 89 95 30 26 60 12 09 11
90 98 42 76 23 83 08 29 05 50 | 93 13 90 19 25 61 97 39 99 73 40 38 06 72 65 43 91 20 33 86 55 62 47 01 84
14 49 50 04 01 13 65 30 10 51 | 26 40 32 73 16 93 94 22 59 76 89 27 33 44 87 42 74 03 71 47 67 06 12 43 57
29 57 10 79 78 30 86 69 32 72 | 26 08 96 78 51 90 86 19 03 10 57 29 22 72 35 28 97 34 69 38 79 33 93 32 30
99 66 67 60 23 90 73 01 29 77 | 79 80 74 63 27 68 12 81 19 91 28 56 71 38 24 35 18 04 87 13 62 03 34 44 14
87 08 39 28 06 89 34 17 51 25 | 50 37 16 36 90 60 28 17 84 70 32 22 64 61 06 34 24 56 99 89 40 77 47 68 87
42 82 14 23 59 08 62 53 37 02 | 62 08 14 85 76 53 21 60 79 01 90 19 78 82 42 17 11 49 87 13 59 37 81 02 23
75 95 56 30 17 58 61 11 39 93 | 68 73 94 09 11 86 80 22 61 50 75 62 36 98 17 39 89 93 34 56 30 78 95 58 96
10 54 26 76 05 35 81 67 34 28 | 28 88 89 93 76 35 81 94 26 98 10 84 67 05 65 50 57 34 54 82 04 45 62 24 53
06 40 97 56 04 43 98 55 79 72 | 79 15 43 54 97 04 95 42 40 57 82 91 87 86 68 63 19 01 22 72 07 67 10 84 55
22 85 05 42 74 28 01 63 29 53 | 63 86 80 48 13 02 74 85 25 97 05 43 21 53 88 07 38 29 82 03 30 77 51 11 44
11 69 64 47 44 13 50 33 83 53 | 59 09 57 81 98 69 32 40 11 33 53 20 52 12 37 93 79 64 74 80 71 35 44 07 13
94 44 62 75 35 86 34 20 01 74 | 17 29 50 65 60 57 33 59 31 92 70 11 54 85 99 22 46 53 98 93 97 51 67 64 12
90 55 21 09 10 41 24 51 88 70 | 30 77 78 20 32 01 57 92 15 75 21 37 31 43 60 39 72 54 46 99 53 61 50 33 94
08 77 92 34 84 28 90 40 97 75 | 61 40 99 77 17 28 80 50 37 47 22 70 81 79 97 85 93 15 49 48 69 14 02 12 94
44 61 20 43 35 24 45 53 52 47 | 46 54 93 78 87 31 30 80 23 51 13 99 60 57 38 09 01 19 90 71 70 26 40 97 62
64 40 01 89 19 70 16 71 31 94 | 10 89 43 01 63 77 03 74 62 17 38 54 72 41 50 14 35 59 99 34 52 55 22 44 96
74 56 86 52 37 58 30 55 79 09 | 49 28 37 12 97 61 19 36 90 45 48 21 86 58 96 82 09 87 66 44 35 77 81 70 22
34 46 73 59 45 65 85 27 16 42 | 17 93 58 98 88 64 26 35 02 84 86 80 89 04 48 83 28 50 32 21 74 69 95 40 57
51 82 59 67 24 08 32 23 96 40 | 76 40 59 83 65 24 04 29 88 21 82 68 95 64 10 01 62 37 81 32 74 47 56 63 48
80 57 26 04 27 39 34 24 49 78 | 65 64 86 59 25 16 92 66 13 54 46 91 29 47 32 21 81 14 30 07 62 37 55 41 36
12 70 15 72 82 43 53 21 58 51 | 07 56 03 30 36 45 28 94 67 89 39 02 48 47 24 29 16 20 22 18 41 37 49 93 77
60 85 83 05 82 63 48 36 04 40 | 89 43 57 86 31 45 88 37 90 03 46 94 29 12 25 40 38 50 72 05 09 15 49 16 87
33 94 66 90 14 72 73 59 55 15 | 87 34 37 35 04 77 25 80 54 10 86 06 12 48 60 61 36 55 43 64 97 30 41 05 95
31 17 65 48 36 63 33 46 25 87 | 09 70 04 42 53 97 57 32 80 14 95 23 03 12 15 52 06 34 71 74 39 27 66 22 20
88 52 86 36 05 15 65 61 18 17 | 36 96 32 56 01 80 48 89 95 97 60 91 85 21 82 10 03 75 66 93 51 37 28 23 83
