671484955 1144907174 532089323
1414132335 1960778188 125717021
2631474761 2586973888 1058655511
1991131055 744338927 221864400
2212995455 192320896 28611061
192320896 2186552402 224875394
2241895588 966203327 169532208
1744764149 431490014 67442815
1812206964 2106058626 80493776
516655377 1135735535 9171639
1559412773 1775426812 185351376
2622156499 2577655626 9318262
1203574278 220931957 210558057
3690130272 4094120212 156346211
3946017132 3645629399 348950164
525827016 598680988 145657939
1892700740 1676996497 98430315
3846476483 3994579563 99540649
2577655626 4250466423 44500873
1539849356 2086495209 19563417
2241606516 598391916 289072
417196290 498932829 99459087

