3741602262 2758947303 142653736
628739598 2901601039 50811783
1842260329 1084521599 145122645
2990409993 3493390513 390865485
4190333929 4159289690 83510514
984282519 2952412822 202948629
1826968660 3155361451 15291669
1329953386 2288178120 328046945
830513455 3304469747 74190775
1187231148 2616225065 142722238
2705943734 836690664 247830935
3381275478 1332397059 281233458
679551381 605080109 150962074
1987382974 756042183 44013157
4159289690 4263923057 31044239
1772730322 3250231409 54238338
2549609472 2131843858 156334262
1658000331 3378660522 114729991
298584178 195831363 330155420
3662508936 525986783 79093326
4273844443 4242800204 21122853
2953774669 800055340 36635324
2031396131 1613630517 518213341
265644560 162891745 32939618
162891745 1229644244 102752815
904704230 3170653120 79578289

