547577859 2546258172 54451455
2564186976 3913248498 28610653
2460249359 129990669 103937617
257798579 3257354132 21143365
511274864 3365252234 24536388
412475023 3389788622 98799841
2843712442 3615348771 251219053
0 2984989380 24111266
1074541266 4051128852 126947592
3109497668 265707418 9056683
3268495430 1450483293 18654108
1298820860 954974424 392849235
1691670095 1469137401 93027519
3886041222 2131196811 39611681
2797706800 1347823659 46005642
3767841776 233928286 19835810
743957513 253764096 11943322
4068806743 3941859151 109269701
2754107115 1910801576 16288912
1223331059 2244121482 75489801
3118554351 1393829301 56653992
3094931495 3009100646 14566173
3991994741 893524279 61450145
692486724 2192650693 51470789
1008564686 2952439802 32549578
535811252 3603582164 11766607
1784697614 2698363640 44335967
755900835 2353038285 193219887
278941944 1777268497 133533079
3925652903 3488588463 66341838
3558101581 2742699607 209740195
949120722 3305808270 59443964
2624116446 0 129990669
1939852817 274764101 520396542
3175208343 2037909724 93287087
3287149538 2600709627 97654013
650681177 1562164920 41805547
3787677586 795160643 98363636
1829033581 1927090488 110819236
4053444886 3897886641 15361857
1201488858 2170808492 21842201
3384803551 1603970467 173298030
2770396027 3278497497 27310773
1041114264 2319611283 33427002
602029314 3554930301 48651863
2592797629 3866567824 31318817
24111266 3023666819 233687313
